name Simple DTS
init {'Base7':1}
;
r0 {'prop':{'r0'}, 'position': (1.07, 2.37, 0.40)}
r145 {'prop':{'r145'}, 'position': (1.07, 1.94, 1.00)}
r146 {'prop':{'r146'}, 'position': (1.07, 1.51, 1.00)}
r147 {'prop':{'r147'}, 'position': (1.07, 1.08, 1.00)}
r148 {'prop':{'r148'}, 'position': (1.07, 0.65, 1.00)}
r149 {'prop':{'r149'}, 'position': (1.07, 0.22, 1.00)}
r150 {'prop':{'r150'}, 'position': (1.07, -0.21, 1.00)}
r152 {'prop':{'r152'}, 'position': (1.07, -1.07, 1.00)}
r153 {'prop':{'r153'}, 'position': (1.07, -1.50, 1.00)}
r154 {'prop':{'r154'}, 'position': (1.07, -1.93, 1.00)}
r155 {'prop':{'r155'}, 'position': (1.07, -2.36, 1.00)}
r156 {'prop':{'r156'}, 'position': (0.65, 2.37, 1.00)}
r157 {'prop':{'r157'}, 'position': (0.65, 1.94, 1.00)}
r158 {'prop':{'r158'}, 'position': (0.65, 1.51, 1.00)}
r159 {'prop':{'r159'}, 'position': (0.65, 1.08, 1.00)}
r160 {'prop':{'r160'}, 'position': (0.65, 0.65, 1.00)}
r161 {'prop':{'r161'}, 'position': (0.65, 0.22, 1.00)}
r162 {'prop':{'r162'}, 'position': (0.65, -0.21, 1.00)}
r164 {'prop':{'r164'}, 'position': (0.65, -1.07, 1.00)}
r165 {'prop':{'r165'}, 'position': (0.65, -1.50, 1.00)}
r166 {'prop':{'r166'}, 'position': (0.65, -1.93, 1.00)}
r167 {'prop':{'r167'}, 'position': (0.65, -2.36, 1.00)}
r168 {'prop':{'r168'}, 'position': (0.21, 2.37, 1.00)}
r171 {'prop':{'r171'}, 'position': (0.21, 1.08, 1.00)}
r172 {'prop':{'r172'}, 'position': (0.21, 0.65, 1.00)}
r174 {'prop':{'r174'}, 'position': (0.21, -0.21, 1.00)}
r175 {'prop':{'r175'}, 'position': (0.21, -0.64, 1.00)}
r176 {'prop':{'r176'}, 'position': (0.21, -1.07, 1.00)}
r177 {'prop':{'r177'}, 'position': (0.21, -1.50, 1.00)}
r178 {'prop':{'r178'}, 'position': (0.21, -1.93, 1.00)}
r180 {'prop':{'r180'}, 'position': (-0.22, 2.37, 1.00)}
r181 {'prop':{'r181'}, 'position': (-0.22, 1.94, 1.00)}
r183 {'prop':{'r183'}, 'position': (-0.22, 1.08, 1.00)}
r184 {'prop':{'r184'}, 'position': (-0.22, 0.65, 1.00)}
r185 {'prop':{'r185'}, 'position': (-0.22, 0.22, 1.00)}
r186 {'prop':{'r186'}, 'position': (-0.22, -0.21, 1.00)}
r187 {'prop':{'r187'}, 'position': (-0.22, -0.64, 1.00)}
r188 {'prop':{'r188'}, 'position': (-0.22, -1.07, 1.00)}
r189 {'prop':{'r189'}, 'position': (-0.22, -1.50, 1.00)}
r190 {'prop':{'r190'}, 'position': (-0.22, -1.93, 1.00)}
r192 {'prop':{'r192'}, 'position': (-0.65, 2.37, 1.00)}
r193 {'prop':{'r193'}, 'position': (-0.65, 1.94, 1.00)}
r194 {'prop':{'r194'}, 'position': (-0.65, 1.51, 1.00)}
r195 {'prop':{'r195'}, 'position': (-0.65, 1.08, 1.00)}
r196 {'prop':{'r196'}, 'position': (-0.65, 0.65, 1.00)}
r197 {'prop':{'r197'}, 'position': (-0.65, 0.22, 1.00)}
r198 {'prop':{'r198'}, 'position': (-0.65, -0.21, 1.00)}
r199 {'prop':{'r199'}, 'position': (-0.65, -0.64, 1.00)}
r200 {'prop':{'r200'}, 'position': (-0.65, -1.07, 1.00)}
r201 {'prop':{'r201'}, 'position': (-0.65, -1.50, 1.00)}
r202 {'prop':{'r202'}, 'position': (-0.65, -1.93, 1.00)}
r203 {'prop':{'r203'}, 'position': (-0.65, -2.36, 1.00)}
r204 {'prop':{'r204'}, 'position': (-1.07, 2.37, 1.00)}
r205 {'prop':{'r205'}, 'position': (-1.07, 1.94, 1.00)}
r206 {'prop':{'r206'}, 'position': (-1.07, 1.51, 1.00)}
r207 {'prop':{'r207'}, 'position': (-1.07, 1.08, 1.00)}
r208 {'prop':{'r208'}, 'position': (-1.07, 0.65, 1.00)}
r209 {'prop':{'r209'}, 'position': (-1.07, 0.22, 1.00)}
r210 {'prop':{'r210'}, 'position': (-1.07, -0.21, 1.00)}
r211 {'prop':{'r211'}, 'position': (-1.07, -0.64, 1.00)}
r212 {'prop':{'r212'}, 'position': (-1.07, -1.07, 1.00)}
r213 {'prop':{'r213'}, 'position': (-1.07, -1.50, 1.00)}
r214 {'prop':{'r214'}, 'position': (-1.07, -1.93, 1.00)}
r215 {'prop':{'r215'}, 'position': (-1.07, -2.36, 1.00)}
r216 {'prop':{'r216'}, 'position': (1.07, 2.37, 1.30)}
r217 {'prop':{'r217'}, 'position': (1.07, 1.94, 1.30)}
r218 {'prop':{'r218'}, 'position': (1.07, 1.51, 1.30)}
r219 {'prop':{'r219'}, 'position': (1.07, 1.08, 1.30)}
r220 {'prop':{'r220'}, 'position': (1.07, 0.65, 1.30)}
r221 {'prop':{'r221'}, 'position': (1.07, 0.22, 1.30)}
r222 {'prop':{'r222'}, 'position': (1.07, -0.21, 1.30)}
r223 {'prop':{'r223'}, 'position': (1.07, -0.64, 1.30)}
r224 {'prop':{'r224'}, 'position': (1.07, -1.07, 1.30)}
r225 {'prop':{'r225'}, 'position': (1.07, -1.50, 1.30)}
r226 {'prop':{'r226'}, 'position': (1.07, -1.93, 1.30)}
r227 {'prop':{'r227'}, 'position': (1.07, -2.36, 1.30)}
r228 {'prop':{'r228'}, 'position': (0.65, 2.37, 1.30)}
r229 {'prop':{'r229'}, 'position': (0.65, 1.94, 1.30)}
r230 {'prop':{'r230'}, 'position': (0.65, 1.51, 1.30)}
r231 {'prop':{'r231'}, 'position': (0.65, 1.08, 1.30)}
r232 {'prop':{'r232'}, 'position': (0.65, 0.65, 1.30)}
r233 {'prop':{'r233'}, 'position': (0.65, 0.22, 1.30)}
r234 {'prop':{'r234'}, 'position': (0.65, -0.21, 1.30)}
r235 {'prop':{'r235'}, 'position': (0.65, -0.64, 1.30)}
r236 {'prop':{'r236'}, 'position': (0.65, -1.07, 1.30)}
r237 {'prop':{'r237'}, 'position': (0.65, -1.50, 1.30)}
r238 {'prop':{'r238'}, 'position': (0.65, -1.93, 1.30)}
r239 {'prop':{'r239'}, 'position': (0.65, -2.36, 1.30)}
r240 {'prop':{'r240'}, 'position': (0.21, 2.37, 1.30)}
r241 {'prop':{'r241'}, 'position': (0.21, 1.94, 1.30)}
r242 {'prop':{'r242'}, 'position': (0.21, 1.51, 1.30)}
r243 {'prop':{'r243'}, 'position': (0.21, 1.08, 1.30)}
r244 {'prop':{'r244'}, 'position': (0.21, 0.65, 1.30)}
r246 {'prop':{'r246'}, 'position': (0.21, -0.21, 1.30)}
r247 {'prop':{'r247'}, 'position': (0.21, -0.64, 1.30)}
r248 {'prop':{'r248'}, 'position': (0.21, -1.07, 1.30)}
r249 {'prop':{'r249'}, 'position': (0.21, -1.50, 1.30)}
r250 {'prop':{'r250'}, 'position': (0.21, -1.93, 1.30)}
r251 {'prop':{'r251'}, 'position': (0.21, -2.36, 1.30)}
r252 {'prop':{'r252'}, 'position': (-0.22, 2.37, 1.30)}
r253 {'prop':{'r253'}, 'position': (-0.22, 1.94, 1.30)}
r254 {'prop':{'r254'}, 'position': (-0.22, 1.51, 1.30)}
r255 {'prop':{'r255'}, 'position': (-0.22, 1.08, 1.30)}
r256 {'prop':{'r256'}, 'position': (-0.22, 0.65, 1.30)}
r257 {'prop':{'r257'}, 'position': (-0.22, 0.22, 1.30)}
r258 {'prop':{'r258'}, 'position': (-0.22, -0.21, 1.30)}
r259 {'prop':{'r259'}, 'position': (-0.22, -0.64, 1.30)}
r260 {'prop':{'r260'}, 'position': (-0.22, -1.07, 1.30)}
r261 {'prop':{'r261'}, 'position': (-0.22, -1.50, 1.30)}
r262 {'prop':{'r262'}, 'position': (-0.22, -1.93, 1.30)}
r263 {'prop':{'r263'}, 'position': (-0.22, -2.36, 1.30)}
r264 {'prop':{'r264'}, 'position': (-0.65, 2.37, 1.30)}
r265 {'prop':{'r265'}, 'position': (-0.65, 1.94, 1.30)}
r266 {'prop':{'r266'}, 'position': (-0.65, 1.51, 1.30)}
r267 {'prop':{'r267'}, 'position': (-0.65, 1.08, 1.30)}
r268 {'prop':{'r268'}, 'position': (-0.65, 0.65, 1.30)}
r269 {'prop':{'r269'}, 'position': (-0.65, 0.22, 1.30)}
r270 {'prop':{'r270'}, 'position': (-0.65, -0.21, 1.30)}
r271 {'prop':{'r271'}, 'position': (-0.65, -0.64, 1.30)}
r272 {'prop':{'r272'}, 'position': (-0.65, -1.07, 1.30)}
r273 {'prop':{'r273'}, 'position': (-0.65, -1.50, 1.30)}
r274 {'prop':{'r274'}, 'position': (-0.65, -1.93, 1.30)}
r275 {'prop':{'r275'}, 'position': (-0.65, -2.36, 1.30)}
r276 {'prop':{'r276'}, 'position': (-1.07, 2.37, 1.30)}
r277 {'prop':{'r277'}, 'position': (-1.07, 1.94, 1.30)}
r278 {'prop':{'r278'}, 'position': (-1.07, 1.51, 1.30)}
r279 {'prop':{'r279'}, 'position': (-1.07, 1.08, 1.30)}
r280 {'prop':{'r280'}, 'position': (-1.07, 0.65, 1.30)}
r281 {'prop':{'r281'}, 'position': (-1.07, 0.22, 1.30)}
r282 {'prop':{'r282'}, 'position': (-1.07, -0.21, 1.30)}
r283 {'prop':{'r283'}, 'position': (-1.07, -0.64, 1.30)}
r284 {'prop':{'r284'}, 'position': (-1.07, -1.07, 1.30)}
r285 {'prop':{'r285'}, 'position': (-1.07, -1.50, 1.30)}
r286 {'prop':{'r286'}, 'position': (-1.07, -1.93, 1.30)}
r287 {'prop':{'r287'}, 'position': (-1.07, -2.36, 1.30)}
;
r0 r0 {'duration': 1, 'edge_weight': 0.500000}
r0 r1 {'duration': 1, 'edge_weight': 1.000000}
r0 r12 {'duration': 1, 'edge_weight': 1.000000}
r0 r13 {'duration': 1, 'edge_weight': 1.414000}
r0 r72 {'duration': 1, 'edge_weight': 1.100000}
r0 r73 {'duration': 1, 'edge_weight': 1.514000}
r0 r84 {'duration': 1, 'edge_weight': 1.514000}
r0 r85 {'duration': 1, 'edge_weight': 1.650000}
r1 r0 {'duration': 1, 'edge_weight': 1.000000}
r1 r1 {'duration': 1, 'edge_weight': 0.500000}
r1 r2 {'duration': 1, 'edge_weight': 1.000000}
r1 r12 {'duration': 1, 'edge_weight': 1.414000}
r1 r13 {'duration': 1, 'edge_weight': 1.000000}
r1 r14 {'duration': 1, 'edge_weight': 1.414000}
r1 r72 {'duration': 1, 'edge_weight': 1.514000}
r1 r73 {'duration': 1, 'edge_weight': 1.100000}
r1 r74 {'duration': 1, 'edge_weight': 1.514000}
r1 r84 {'duration': 1, 'edge_weight': 1.650000}
r1 r85 {'duration': 1, 'edge_weight': 1.514000}
r1 r86 {'duration': 1, 'edge_weight': 1.650000}
r2 r1 {'duration': 1, 'edge_weight': 1.000000}
r2 r2 {'duration': 1, 'edge_weight': 0.500000}
r2 Base8 {'duration': 1, 'edge_weight': 1.000000}
r2 r13 {'duration': 1, 'edge_weight': 1.414000}
r2 r14 {'duration': 1, 'edge_weight': 1.000000}
r2 r15 {'duration': 1, 'edge_weight': 1.414000}
r2 r73 {'duration': 1, 'edge_weight': 1.514000}
r2 r74 {'duration': 1, 'edge_weight': 1.100000}
r2 r75 {'duration': 1, 'edge_weight': 1.514000}
r2 r85 {'duration': 1, 'edge_weight': 1.650000}
r2 r86 {'duration': 1, 'edge_weight': 1.514000}
r2 r87 {'duration': 1, 'edge_weight': 1.650000}
Base8 r2 {'duration': 1, 'edge_weight': 1.000000}
Base8 Base8 {'duration': 1, 'edge_weight': 0.500000}
Base8 Base9 {'duration': 1, 'edge_weight': 1.000000}
Base8 r14 {'duration': 1, 'edge_weight': 1.414000}
Base8 r15 {'duration': 1, 'edge_weight': 1.000000}
Base8 r16 {'duration': 1, 'edge_weight': 1.414000}
Base8 r74 {'duration': 1, 'edge_weight': 1.514000}
Base8 r75 {'duration': 1, 'edge_weight': 1.100000}
Base8 r76 {'duration': 1, 'edge_weight': 1.514000}
Base8 r86 {'duration': 1, 'edge_weight': 1.650000}
Base8 r87 {'duration': 1, 'edge_weight': 1.514000}
Base8 r88 {'duration': 1, 'edge_weight': 1.650000}
Base9 Base8 {'duration': 1, 'edge_weight': 1.000000}
Base9 Base9 {'duration': 1, 'edge_weight': 0.500000}
Base9 Base10 {'duration': 1, 'edge_weight': 1.000000}
Base9 r15 {'duration': 1, 'edge_weight': 1.414000}
Base9 r16 {'duration': 1, 'edge_weight': 1.000000}
Base9 r17 {'duration': 1, 'edge_weight': 1.414000}
Base9 r75 {'duration': 1, 'edge_weight': 1.514000}
Base9 r76 {'duration': 1, 'edge_weight': 1.100000}
Base9 r77 {'duration': 1, 'edge_weight': 1.514000}
Base9 r87 {'duration': 1, 'edge_weight': 1.650000}
Base9 r88 {'duration': 1, 'edge_weight': 1.514000}
Base9 r89 {'duration': 1, 'edge_weight': 1.650000}
Base10 Base9 {'duration': 1, 'edge_weight': 1.000000}
Base10 Base10 {'duration': 1, 'edge_weight': 0.500000}
Base10 r6 {'duration': 1, 'edge_weight': 1.000000}
Base10 r16 {'duration': 1, 'edge_weight': 1.414000}
Base10 r17 {'duration': 1, 'edge_weight': 1.000000}
Base10 r18 {'duration': 1, 'edge_weight': 1.414000}
Base10 r76 {'duration': 1, 'edge_weight': 1.514000}
Base10 r77 {'duration': 1, 'edge_weight': 1.100000}
Base10 r78 {'duration': 1, 'edge_weight': 1.514000}
Base10 r88 {'duration': 1, 'edge_weight': 1.650000}
Base10 r89 {'duration': 1, 'edge_weight': 1.514000}
Base10 r90 {'duration': 1, 'edge_weight': 1.650000}
r6 Base10 {'duration': 1, 'edge_weight': 1.000000}
r6 r6 {'duration': 1, 'edge_weight': 0.500000}
r6 r17 {'duration': 1, 'edge_weight': 1.414000}
r6 r18 {'duration': 1, 'edge_weight': 1.000000}
r6 r77 {'duration': 1, 'edge_weight': 1.514000}
r6 r78 {'duration': 1, 'edge_weight': 1.100000}
r6 r89 {'duration': 1, 'edge_weight': 1.650000}
r6 r90 {'duration': 1, 'edge_weight': 1.514000}
r8 r8 {'duration': 1, 'edge_weight': 0.500000}
r8 r9 {'duration': 1, 'edge_weight': 1.000000}
r8 r20 {'duration': 1, 'edge_weight': 1.000000}
r8 r21 {'duration': 1, 'edge_weight': 1.414000}
r8 r80 {'duration': 1, 'edge_weight': 1.100000}
r8 r81 {'duration': 1, 'edge_weight': 1.514000}
r8 r92 {'duration': 1, 'edge_weight': 1.514000}
r8 r93 {'duration': 1, 'edge_weight': 1.650000}
r9 r8 {'duration': 1, 'edge_weight': 1.000000}
r9 r9 {'duration': 1, 'edge_weight': 0.500000}
r9 r10 {'duration': 1, 'edge_weight': 1.000000}
r9 r20 {'duration': 1, 'edge_weight': 1.414000}
r9 r21 {'duration': 1, 'edge_weight': 1.000000}
r9 r22 {'duration': 1, 'edge_weight': 1.414000}
r9 r80 {'duration': 1, 'edge_weight': 1.514000}
r9 r81 {'duration': 1, 'edge_weight': 1.100000}
r9 r82 {'duration': 1, 'edge_weight': 1.514000}
r9 r92 {'duration': 1, 'edge_weight': 1.650000}
r9 r93 {'duration': 1, 'edge_weight': 1.514000}
r9 r94 {'duration': 1, 'edge_weight': 1.650000}
r10 r9 {'duration': 1, 'edge_weight': 1.000000}
r10 r10 {'duration': 1, 'edge_weight': 0.500000}
r10 r11 {'duration': 1, 'edge_weight': 1.000000}
r10 r21 {'duration': 1, 'edge_weight': 1.414000}
r10 r22 {'duration': 1, 'edge_weight': 1.000000}
r10 r23 {'duration': 1, 'edge_weight': 1.414000}
r10 r81 {'duration': 1, 'edge_weight': 1.514000}
r10 r82 {'duration': 1, 'edge_weight': 1.100000}
r10 r83 {'duration': 1, 'edge_weight': 1.514000}
r10 r93 {'duration': 1, 'edge_weight': 1.650000}
r10 r94 {'duration': 1, 'edge_weight': 1.514000}
r10 r95 {'duration': 1, 'edge_weight': 1.650000}
r11 r10 {'duration': 1, 'edge_weight': 1.000000}
r11 r11 {'duration': 1, 'edge_weight': 0.500000}
r11 r22 {'duration': 1, 'edge_weight': 1.414000}
r11 r23 {'duration': 1, 'edge_weight': 1.000000}
r11 r82 {'duration': 1, 'edge_weight': 1.514000}
r11 r83 {'duration': 1, 'edge_weight': 1.100000}
r11 r94 {'duration': 1, 'edge_weight': 1.650000}
r11 r95 {'duration': 1, 'edge_weight': 1.514000}
r12 r0 {'duration': 1, 'edge_weight': 1.000000}
r12 r1 {'duration': 1, 'edge_weight': 1.414000}
r12 r12 {'duration': 1, 'edge_weight': 0.500000}
r12 r13 {'duration': 1, 'edge_weight': 1.000000}
r12 r24 {'duration': 1, 'edge_weight': 1.000000}
r12 r72 {'duration': 1, 'edge_weight': 1.514000}
r12 r73 {'duration': 1, 'edge_weight': 1.650000}
r12 r84 {'duration': 1, 'edge_weight': 1.100000}
r12 r85 {'duration': 1, 'edge_weight': 1.514000}
r12 r96 {'duration': 1, 'edge_weight': 1.514000}
r13 r0 {'duration': 1, 'edge_weight': 1.414000}
r13 r1 {'duration': 1, 'edge_weight': 1.000000}
r13 r2 {'duration': 1, 'edge_weight': 1.414000}
r13 r12 {'duration': 1, 'edge_weight': 1.000000}
r13 r13 {'duration': 1, 'edge_weight': 0.500000}
r13 r14 {'duration': 1, 'edge_weight': 1.000000}
r13 r24 {'duration': 1, 'edge_weight': 1.414000}
r13 r72 {'duration': 1, 'edge_weight': 1.650000}
r13 r73 {'duration': 1, 'edge_weight': 1.514000}
r13 r74 {'duration': 1, 'edge_weight': 1.650000}
r13 r84 {'duration': 1, 'edge_weight': 1.514000}
r13 r85 {'duration': 1, 'edge_weight': 1.100000}
r13 r86 {'duration': 1, 'edge_weight': 1.514000}
r13 r96 {'duration': 1, 'edge_weight': 1.650000}
r14 r1 {'duration': 1, 'edge_weight': 1.414000}
r14 r2 {'duration': 1, 'edge_weight': 1.000000}
r14 Base8 {'duration': 1, 'edge_weight': 1.414000}
r14 r13 {'duration': 1, 'edge_weight': 1.000000}
r14 r14 {'duration': 1, 'edge_weight': 0.500000}
r14 r15 {'duration': 1, 'edge_weight': 1.000000}
r14 r27 {'duration': 1, 'edge_weight': 1.414000}
r14 r73 {'duration': 1, 'edge_weight': 1.650000}
r14 r74 {'duration': 1, 'edge_weight': 1.514000}
r14 r75 {'duration': 1, 'edge_weight': 1.650000}
r14 r85 {'duration': 1, 'edge_weight': 1.514000}
r14 r86 {'duration': 1, 'edge_weight': 1.100000}
r14 r87 {'duration': 1, 'edge_weight': 1.514000}
r14 r99 {'duration': 1, 'edge_weight': 1.650000}
r15 r2 {'duration': 1, 'edge_weight': 1.414000}
r15 Base8 {'duration': 1, 'edge_weight': 1.000000}
r15 Base9 {'duration': 1, 'edge_weight': 1.414000}
r15 r14 {'duration': 1, 'edge_weight': 1.000000}
r15 r15 {'duration': 1, 'edge_weight': 0.500000}
